"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-01","2010","01","01","","-18.0","","-32.7","","-25.4","","43.4","","0.0","","","M","","M","0.0","","24","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-02","2010","01","02","","-21.5","","-36.5","","-29.0","","47.0","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-03","2010","01","03","","-16.4","","-37.3","","-26.9","","44.9","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-04","2010","01","04","","-14.1","","-34.6","","-24.4","","42.4","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-05","2010","01","05","","-12.1","","-34.7","","-23.4","","41.4","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-06","2010","01","06","","-14.0","","-29.8","","-21.9","","39.9","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-07","2010","01","07","","-13.9","","-20.3","","-17.1","","35.1","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-08","2010","01","08","","-13.1","","-31.7","","-22.4","","40.4","","0.0","","","M","","M","0.0","","24","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-09","2010","01","09","","-11.6","","-32.0","","-21.8","","39.8","","0.0","","","M","","M","0.0","","24","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-10","2010","01","10","","-10.1","","-15.4","","-12.8","","30.8","","0.0","","","M","","M","0.4","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-11","2010","01","11","","-8.7","","-19.6","","-14.2","","32.2","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-12","2010","01","12","","-0.7","","-19.4","","-10.1","","28.1","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-13","2010","01","13","","1.2","","-13.1","","-6.0","","24.0","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-91.63","48.76","ATIKOKAN (AUT)","6020LPQ","2010-01-14","2010","01","14","","-3.3","","-8.5","","-5.9","","23.9","","0.0","","","M","","M","0.0","","23","","","","<31",""
