"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-01","2010","01","01","","-2.8","","-20.1","","-11.5","","29.5","","0.0","","","M","","M","","M","","","1","","35",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-02","2010","01","02","","-17.5","","-22.0","","-19.8","","37.8","","0.0","","","M","","M","","M","","","33","","37",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-03","2010","01","03","","-12.8","","-20.5","","-16.7","","34.7","","0.0","","","M","","M","","M","","","33","","48",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-04","2010","01","04","","-10.1","","-14.9","","-12.5","","30.5","","0.0","","","M","","M","","M","","","1","","37",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-05","2010","01","05","","-6.9","","-12.0","","-9.5","","27.5","","0.0","","","M","","M","","M","","","35","","33",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-06","2010","01","06","","-4.6","","-12.5","","-8.6","","26.6","","0.0","","","M","","M","","M","","","33","","39",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-07","2010","01","07","","-5.0","","-11.9","","-8.5","","26.5","","0.0","","","M","","M","","M","","","1","","32",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-08","2010","01","08","","-10.8","","-15.4","","-13.1","","31.1","","0.0","","","M","","M","","M","","","33","","35",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-09","2010","01","09","","-8.5","","-19.1","","-13.8","","31.8","","0.0","","","M","","M","","M","","","35","","32",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-10","2010","01","10","","-0.5","","-8.8","","-4.7","","22.7","","0.0","","","M","","M","","M","","","25","","44",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-11","2010","01","11","","-1.4","","-11.3","","-6.4","","24.4","","0.0","","","M","","M","","M","","","4","","43",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-12","2010","01","12","","-2.7","","-17.0","","-9.9","","27.9","","0.0","","","M","","M","","M","","","1","","39",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-13","2010","01","13","","0.4","","-3.3","","-1.5","","19.5","","0.0","","","M","","M","","M","","","23","","33",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-14","2010","01","14","","1.5","","-0.6","","0.5","","17.5","","0.0","","","M","","M","","M","","","28","","44",""
"-81.48","45.97","KILLARNEY (AUT)","605DJ25","2010-01-15","2010","01","15","","0.8","","-1.0","","-0.1","","18.1","","0.0","","","M","","M","","M","","","27","","44",""
