"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-01","2012","01","01","†","-2.0","","-13.0","","-7.5","","25.5","","0.0","","0.0","","12.5","","12.8","","37","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-02","2012","01","02","†","-15.0","","-15.5","","-15.3","","33.3","","0.0","","0.0","","0.1","","0.6","","48","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-03","2012","01","03","†","-8.0","","-27.0","","-17.5","","35.5","","0.0","","0.0","","2.5","","1.4","","46","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-04","2012","01","04","†","-6.5","","-27.0","","-16.8","","34.8","","0.0","","0.0","","1.8","","0.6","","47","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-05","2012","01","05","†","-11.0","","-24.5","","-17.8","","35.8","","0.0","","0.0","","1.6","","0.6","","47","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-06","2012","01","06","†","-9.0","","-24.0","","-16.5","","34.5","","0.0","","0.0","","8.0","","3.7","","47","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-07","2012","01","07","†","-13.5","","-14.5","","-14.0","","32.0","","0.0","","0.0","","1.3","","0.6","","52","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-08","2012","01","08","†","-5.0","","-20.5","","-12.8","","30.8","","0.0","","0.0","","0.1","","0.0","T","52","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-09","2012","01","09","†","0.0","","-18.5","","-9.3","","27.3","","0.0","","0.0","","4.0","","2.8","","49","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-10","2012","01","10","†","-13.0","","-16.5","","-14.8","","32.8","","0.0","","0.0","","4.0","","1.6","","49","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-11","2012","01","11","†","-10.5","","-17.0","","-13.8","","31.8","","0.0","","0.0","","11.5","","9.8","","53","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-12","2012","01","12","†","-10.0","","-14.0","","-12.0","","30.0","","0.0","","0.0","","4.6","","5.4","","60","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-13","2012","01","13","†","-20.0","","-24.0","","-22.0","","40.0","","0.0","","0.0","","0.0","T","0.0","T","61","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-14","2012","01","14","†","-15.0","","-30.0","","-22.5","","40.5","","0.0","","0.0","","0.1","","0.0","T","60","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-15","2012","01","15","†","-4.5","","-30.0","","-17.3","","35.3","","0.0","","0.0","","0.0","T","0.0","T","59","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-16","2012","01","16","†","-2.5","","-22.5","","-12.5","","30.5","","0.0","","0.0","","1.4","","0.5","","58","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-17","2012","01","17","†","-15.0","","-16.5","","-15.8","","33.8","","0.0","","0.0","","1.8","","2.0","","57","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-18","2012","01","18","†","-8.0","","-28.0","","-18.0","","36.0","","0.0","","0.0","","3.8","","4.0","","58","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-19","2012","01","19","†","-8.0","","-23.5","","-15.8","","33.8","","0.0","","0.0","","0.2","","2.0","","60","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-20","2012","01","20","†","-16.0","","-35.0","","-25.5","","43.5","","0.0","","0.0","","0.0","T","0.0","T","61","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-21","2012","01","21","†","-13.0","","-35.0","","-24.0","","42.0","","0.0","","0.0","","0.8","","0.8","","61","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-22","2012","01","22","†","-4.5","","-34.0","","-19.3","","37.3","","0.0","","0.0","","8.5","","10.5","","61","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-23","2012","01","23","†","0.5","","-14.5","","-7.0","","25.0","","0.0","","0.0","","9.0","","17.5","","67","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-24","2012","01","24","†","-14.5","","-15.0","","-14.8","","32.8","","0.0","","0.0","","3.3","","1.9","","71","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-25","2012","01","25","†","-4.0","","-23.5","","-13.8","","31.8","","0.0","","0.0","","1.0","","0.2","","71","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-26","2012","01","26","†","-1.0","","-19.0","","-10.0","","28.0","","0.0","","0.0","","2.6","","2.6","","72","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-27","2012","01","27","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","1.0","","0.3","","73","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-28","2012","01","28","†","-3.0","","-12.5","","-7.8","","25.8","","0.0","","0.0","","7.6","","3.4","","73","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-29","2012","01","29","†","-13.0","","-20.5","","-16.8","","34.8","","0.0","","0.0","","0.0","T","0.0","T","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-30","2012","01","30","†","-10.0","","-28.0","","-19.0","","37.0","","0.0","","0.0","","0.2","","0.1","","75","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-01-31","2012","01","31","†","-6.0","","-28.0","","-17.0","","35.0","","0.0","","0.0","","6.6","","6.3","","75","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-01","2012","02","01","†","-5.0","","-12.5","","-8.8","","26.8","","0.0","","0.0","","0.8","","0.4","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-02","2012","02","02","†","-3.5","","-23.5","","-13.5","","31.5","","0.0","","0.0","","3.8","","2.3","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-03","2012","02","03","†","-7.0","","-17.5","","-12.3","","30.3","","0.0","","0.0","","0.7","","0.1","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-04","2012","02","04","†","-3.0","","-16.0","","-9.5","","27.5","","0.0","","0.0","","0.5","","0.7","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-05","2012","02","05","†","1.0","","-8.5","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-06","2012","02","06","†","-3.5","","-6.0","","-4.8","","22.8","","0.0","","0.0","","0.9","","0.7","","75","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-07","2012","02","07","†","-10.5","","-27.0","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","74","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-08","2012","02","08","†","-3.0","","-27.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","74","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-09","2012","02","09","†","-4.0","","-16.0","","-10.0","","28.0","","0.0","","0.0","","5.6","","2.8","","74","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-10","2012","02","10","†","-18.5","","-32.5","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","77","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-11","2012","02","11","†","-14.5","","-33.0","","-23.8","","41.8","","0.0","","0.0","","0.6","","0.4","","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-12","2012","02","12","†","-8.5","","-25.0","","-16.8","","34.8","","0.0","","0.0","","0.0","","0.0","","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-13","2012","02","13","†","-4.5","","-19.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","75","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-14","2012","02","14","†","3.0","","-17.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","73","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-15","2012","02","15","†","1.5","","-17.5","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","71","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-16","2012","02","16","†","2.0","","-13.5","","-5.8","","23.8","","0.0","","0.0","","6.3","","6.9","","71","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-17","2012","02","17","†","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","7.6","","4.1","","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-18","2012","02","18","†","-10.5","","-16.0","","-13.3","","31.3","","0.0","","0.0","","0.2","","0.1","","83","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-19","2012","02","19","†","-3.0","","-20.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","82","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-20","2012","02","20","†","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","81","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-21","2012","02","21","†","2.0","","-9.5","","-3.8","","21.8","","0.0","","0.0","","1.7","","2.1","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-22","2012","02","22","†","1.0","","-8.5","","-3.8","","21.8","","0.0","","0.0","","1.8","","2.2","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-23","2012","02","23","†","-4.5","","-13.5","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-24","2012","02","24","†","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.1","","0.0","T","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-25","2012","02","25","†","-9.0","","-22.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","77","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-26","2012","02","26","†","-10.0","","-29.0","","-19.5","","37.5","","0.0","","0.0","","2.0","","1.9","","77","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-27","2012","02","27","†","-7.0","","-20.5","","-13.8","","31.8","","0.0","","0.0","","0.7","","0.9","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-28","2012","02","28","†","-2.0","","-29.5","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","77","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-02-29","2012","02","29","†","-1.0","","-25.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-01","2012","03","01","†","3.0","","-15.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-02","2012","03","02","†","1.0","","-10.5","","-4.8","","22.8","","0.0","","0.0","","4.2","","3.0","","76","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-03","2012","03","03","†","-16.0","","-17.5","","-16.8","","34.8","","0.0","","0.0","","0.4","","0.8","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-04","2012","03","04","†","-16.5","","-29.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-05","2012","03","05","†","-8.0","","-35.0","","-21.5","","39.5","","0.0","","0.0","","0.8","","0.3","","77","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-06","2012","03","06","†","0.0","","-27.5","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-07","2012","03","07","†","13.0","","-9.0","","2.0","","16.0","","0.0","","0.0","","5.2","","4.0","","78","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-08","2012","03","08","†","-7.0","","-12.5","","-9.8","","27.8","","0.0","","0.0","","8.1","","4.0","","71","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-09","2012","03","09","†","-9.5","","-16.0","","-12.8","","30.8","","0.0","","0.0","","1.1","","1.2","","79","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-10","2012","03","10","†","-3.5","","-26.0","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.6","","75","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-11","2012","03","11","†","12.0","","-13.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","73","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-12","2012","03","12","†","7.0","","-4.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","56","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-13","2012","03","13","†","4.5","","-2.0","","1.3","","16.7","","0.0","","","M","1.0","","1.8","","56","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-14","2012","03","14","†","4.5","","-2.0","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","58","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-15","2012","03","15","†","13.0","","-1.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","T","57","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-16","2012","03","16","†","14.0","","-3.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-17","2012","03","17","†","20.0","","-1.5","","9.3","","8.7","","0.0","","0.0","T","0.0","","0.0","T","46","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-18","2012","03","18","†","17.0","","5.5","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-19","2012","03","19","†","25.0","","4.0","","14.5","","3.5","","0.0","","0.0","T","0.0","","0.0","T","33","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-20","2012","03","20","†","25.5","","4.0","","14.8","","3.2","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-21","2012","03","21","†","25.0","","5.0","","15.0","","3.0","","0.0","","1.6","","0.0","","1.6","","4","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-22","2012","03","22","†","18.0","","5.0","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-23","2012","03","23","†","7.0","","-2.5","","2.3","","15.7","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-24","2012","03","24","†","6.0","","-1.0","","2.5","","15.5","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-25","2012","03","25","†","-0.5","","-0.5","","-0.5","","18.5","","0.0","","0.0","","0.6","","0.4","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-26","2012","03","26","†","-1.5","","-15.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-27","2012","03","27","†","0.0","","-14.0","","-7.0","","25.0","","0.0","","0.0","","3.4","","6.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-28","2012","03","28","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","1.6","","1.2","","3","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-29","2012","03","29","†","0.5","","-6.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-30","2012","03","30","†","2.0","","-15.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-03-31","2012","03","31","†","7.5","","-10.5","","-1.5","","19.5","","0.0","","0.0","","3.0","","1.9","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-01","2012","04","01","†","8.0","","-3.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-02","2012","04","02","†","9.0","","-9.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-03","2012","04","03","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.2","","1.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-04","2012","04","04","†","0.0","","-1.0","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.1","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-05","2012","04","05","†","5.0","","-10.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-06","2012","04","06","†","10.0","","-9.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-07","2012","04","07","†","16.0","","-7.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-08","2012","04","08","†","23.0","","-8.5","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-09","2012","04","09","†","10.5","","1.0","","5.8","","12.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-10","2012","04","10","†","5.5","","0.1","","2.8","","15.2","","0.0","","0.0","","0.2","","0.8","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-11","2012","04","11","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-12","2012","04","12","†","9.5","","-9.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-13","2012","04","13","†","17.0","","-5.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-14","2012","04","14","†","10.5","","-2.0","","4.3","","13.7","","0.0","","1.5","","0.0","","1.5","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-15","2012","04","15","†","12.0","","3.5","","7.8","","10.2","","0.0","","0.0","","15.5","","39.4","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-16","2012","04","16","†","-7.5","","-9.0","","-8.3","","26.3","","0.0","","0.0","","12.4","","24.4","","15","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-17","2012","04","17","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-18","2012","04","18","†","4.5","","-11.0","","-3.3","","21.3","","0.0","","0.0","","3.5","","9.2","","16","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-19","2012","04","19","†","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.7","","0.7","","15","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-20","2012","04","20","†","7.5","","-6.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-21","2012","04","21","†","7.5","","-5.5","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-22","2012","04","22","†","10.0","","-8.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-23","2012","04","23","†","","M","-6.0","","","M","","M","","M","","","","","","","5","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-24","2012","04","24","†","0.0","","","M","","M","","M","","M","0.0","","5.8","","4.2","","","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-25","2012","04","25","†","7.0","","-4.0","","1.5","","16.5","","0.0","","0.0","","1.6","","1.5","","7","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-26","2012","04","26","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","0.8","","0.6","","3","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-27","2012","04","27","†","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-28","2012","04","28","†","7.0","","-10.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-29","2012","04","29","†","11.0","","-6.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-04-30","2012","04","30","†","15.0","","-3.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-01","2012","05","01","†","20.0","","2.0","","11.0","","7.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-02","2012","05","02","†","20.0","","4.0","","12.0","","6.0","","0.0","","2.2","","0.0","","2.2","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-03","2012","05","03","†","12.0","","9.0","","10.5","","7.5","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-04","2012","05","04","†","8.0","","-10.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.3","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-05","2012","05","05","†","13.5","","-5.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-06","2012","05","06","†","18.5","","-2.5","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-07","2012","05","07","†","19.5","","-2.0","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-08","2012","05","08","†","11.0","","6.5","","8.8","","9.2","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-09","2012","05","09","†","13.5","","-2.0","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-10","2012","05","10","†","16.0","","-3.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-11","2012","05","11","†","24.5","","-2.5","","11.0","","7.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-12","2012","05","12","†","19.5","","11.0","","15.3","","2.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-13","2012","05","13","†","24.5","","0.5","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-14","2012","05","14","†","23.0","","13.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-15","2012","05","15","†","20.0","","3.0","","11.5","","6.5","","0.0","","24.6","","0.0","","24.6","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-16","2012","05","16","†","9.0","","3.0","","6.0","","12.0","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2012-05-17","2012","05","17","†","16.5","","-0.5","","8.0","","10.0","","0.0","","1.1","","0.0","","1.1","","0","","","","",""
