"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-01","2010","01","01","","-20.1","","-30.9","","-25.5","","43.5","","0.0","","","M","","M","0.2","","19","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-02","2010","01","02","","-23.4","","-30.5","","-27.0","","45.0","","0.0","","","M","","M","0.2","","19","","35","","37",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-03","2010","01","03","","-16.9","","-25.0","","-21.0","","39.0","","0.0","","","M","","M","0.2","","22","","33","","37",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-04","2010","01","04","","-12.6","","-17.0","","-14.8","","32.8","","0.0","","","M","","M","0.4","","25","","32","","39",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-05","2010","01","05","","-13.0","","-15.1","","-14.1","","32.1","","0.0","","","M","","M","0.2","","25","","33","","33",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-06","2010","01","06","","-13.5","","-16.4","","-15.0","","33.0","","0.0","","","M","","M","0.0","","24","","31","","33",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-07","2010","01","07","","-13.8","","-18.5","","-16.2","","34.2","","0.0","","","M","","M","0.0","","24","","35","","35",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-08","2010","01","08","","-18.5","","-29.0","","-23.8","","41.8","","0.0","","","M","","M","0.0","","23","","34","","33",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-09","2010","01","09","","-6.3","","-30.8","","-18.6","","36.6","","0.0","","","M","","M","0.3","","23","","25","","39",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-10","2010","01","10","","-5.5","","-11.0","","-8.3","","26.3","","0.0","","","M","","M","0.0","","22","","23","","32",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-11","2010","01","11","","-11.0","","-26.3","","-18.7","","36.7","","0.0","","","M","","M","0.0","","23","","35","","33",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-12","2010","01","12","","-7.5","","-28.1","","-17.8","","35.8","","0.0","","","M","","M","0.0","","24","","18","","33",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-13","2010","01","13","","-1.8","E","-11.9","E","-6.9","E","24.9","E","0.0","E","","M","","M","","M","24","","19","E","43","E"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-14","2010","01","14","","","M","-3.0","E","","M","","M","","M","","M","","M","0.6","","25","","19","E","43","E"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-15","2010","01","15","","-0.9","","-15.7","E","-8.3","E","26.3","E","0.0","E","","M","","M","0.5","","26","","32","E","32","E"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-16","2010","01","16","","-2.8","","-12.0","","-7.4","","25.4","","0.0","","0.0","","","M","6.0","","28","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-17","2010","01","17","","0.6","","-7.9","","-3.7","","21.7","","0.0","","","M","","M","7.9","","32","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-18","2010","01","18","","-6.7","E","-10.9","E","-8.8","E","26.8","E","0.0","E","","M","","M","2.3","E","31","","","M","","M"
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-19","2010","01","19","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-20","2010","01","20","","-7.8","","-20.1","","-14.0","","32.0","","0.0","","","M","","M","0.5","","33","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-21","2010","01","21","","-1.9","","-16.7","","-9.3","","27.3","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-22","2010","01","22","","-3.8","E","-16.7","E","-10.3","E","28.3","E","0.0","E","","M","","M","","M","32","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-23","2010","01","23","","-3.5","","-11.6","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-24","2010","01","24","","0.2","","-5.5","","-2.7","","20.7","","0.0","","","M","","M","0.7","","30","","14","","37",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-25","2010","01","25","","2.4","","-9.4","","-3.5","","21.5","","0.0","","","M","","M","2.7","","30","","32","","44",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-26","2010","01","26","","-9.4","","-22.3","","-15.9","","33.9","","0.0","","","M","","M","0.0","","28","","34","","46",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-27","2010","01","27","","-15.1","","-24.2","","-19.7","","37.7","","0.0","","","M","","M","0.2","","28","","","","<31",""
"-82.44","49.41","KAPUSKASING CDA ON","6073980","2010-01-28","2010","01","28","","-20.6","","-29.3","","-25.0","","43.0","","0.0","","","M","","M","0.2","","28","","29","","35",""
