"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-01","2010","01","01","†","-0.5","","-3.5","","-2.0","","20.0","","0.0","","0.0","","7.6","","7.6","","25","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-02","2010","01","02","†","-15.0","","-16.5","","-15.8","","33.8","","0.0","","0.0","","7.2","","7.2","","31","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-03","2010","01","03","†","-10.0","","-16.5","","-13.3","","31.3","","0.0","","0.0","","4.4","","4.4","","42","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-04","2010","01","04","†","-9.0","","-12.5","","-10.8","","28.8","","0.0","","0.0","","1.4","","1.4","","47","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-05","2010","01","05","†","-6.5","","-11.0","","-8.8","","26.8","","0.0","","0.0","T","0.6","","0.6","","46","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-06","2010","01","06","†","-7.5","","-8.5","","-8.0","","26.0","","0.0","","0.0","","1.8","","1.8","","44","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-07","2010","01","07","†","-6.0","","-9.5","","-7.8","","25.8","","0.0","","0.0","","1.2","","1.2","","43","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-08","2010","01","08","†","-10.5","","-11.0","","-10.8","","28.8","","0.0","","0.0","","3.2","","3.2","","43","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-09","2010","01","09","†","-13.0","","-18.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-10","2010","01","10","†","-5.0","","-19.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-11","2010","01","11","†","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-12","2010","01","12","†","-10.5","","-12.5","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-13","2010","01","13","†","-4.0","","-14.5","","-9.3","","27.3","","0.0","","0.0","","2.4","","2.4","","40","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-14","2010","01","14","†","2.5","","-7.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2010-01-15","2010","01","15","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","T","0.0","","0.0","T","38","","","","",""
