"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-01","2020","01","01","","2.5","","-1.6","","0.4","","17.6","","0.0","","","","","","","","","","29","","69",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-02","2020","01","02","","5.6","","2.3","","3.9","","14.1","","0.0","","","","","","","","","","23","","59",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-03","2020","01","03","","5.3","","1.0","","3.1","","14.9","","0.0","","","","","","","","","","31","","46",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-04","2020","01","04","","1.0","","-2.9","","-0.9","","18.9","","0.0","","","","","","","","","","35","","45",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-05","2020","01","05","","0.1","","-4.4","","-2.1","","20.1","","0.0","","","","","","","","","","35","","52",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-06","2020","01","06","","1.9","","-2.4","","-0.3","","18.3","","0.0","","","","","","","","","","29","","97",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-07","2020","01","07","","3.5","","-1.1","","1.2","","16.8","","0.0","","","","","","","","","","30","","65",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-08","2020","01","08","","-0.3","","-12.4","","-6.3","","24.3","","0.0","","","","","","","","","","33","","82",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-09","2020","01","09","","3.8","","-13.7","","-4.9","","22.9","","0.0","","","","","","","","","","14","","74",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-10","2020","01","10","","7.1","","2.2","","4.6","","13.4","","0.0","","","","","","","","","","21","","55",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-11","2020","01","11","","3.5","","-9.0","","-2.7","","20.7","","0.0","","","","","","","","","","3","","80",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-12","2020","01","12","","-8.1","","-12.8","","-10.4","","28.4","","0.0","","","","","","","","","","5","","71",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-13","2020","01","13","","-2.3","","-8.2","","-5.3","","23.3","","0.0","","","","","","","","","","12","","40",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-14","2020","01","14","","2.9","","-3.1","","-0.1","","18.1","","0.0","","","","","","","","","","29","","61",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-15","2020","01","15","","2.5","","-1.2","","0.7","","17.3","","0.0","","","","","","","","","","30","","57",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-16","2020","01","16","","-0.5","","-13.4","","-6.9","","24.9","","0.0","","","","","","","","","","35","","66",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-17","2020","01","17","","-8.8","","-15.7","","-12.2","","30.2","","0.0","","","","","","","","","","36","","53",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-18","2020","01","18","","0.9","","-9.6","","-4.4","","22.4","","0.0","","","","","","","","","","12","","82",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-19","2020","01","19","","-6.1","","-11.7","","-8.9","","26.9","","0.0","","","","","","","","","","1","","57",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-20","2020","01","20","","-3.2","","-12.6","","-7.9","","25.9","","0.0","","","","","","","","","","32","","57",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-21","2020","01","21","","-0.4","","-4.4","","-2.4","","20.4","","0.0","","","","","","","","","","26","","64",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-22","2020","01","22","","1.6","","-2.1","","-0.3","","18.3","","0.0","","","","","","","","","","23","","66",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-23","2020","01","23","","1.2","","-0.3","","0.4","","17.6","","0.0","","","","","","","","","","23","","48",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-24","2020","01","24","","3.4","","-0.7","","1.3","","16.7","","0.0","","","","","","","","","","12","","54",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-25","2020","01","25","","2.3","","0.5","","1.4","","16.6","","0.0","","","","","","","","","","13","","52",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-26","2020","01","26","","2.4","","-0.2","","1.1","","16.9","","0.0","","","","","","","","","","29","","56",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-27","2020","01","27","","0.0","","-1.8","","-0.9","","18.9","","0.0","","","","","","","","","","35","","48",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-28","2020","01","28","","-1.1","","-6.7","","-3.9","","21.9","","0.0","","","","","","","","","","34","","36",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-29","2020","01","29","","-3.9","","-8.8","","-6.3","","24.3","","0.0","","","","","","","","","","","","",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-30","2020","01","30","","-2.7","","-6.5","","-4.6","","22.6","","0.0","","","","","","","","","","16","","32",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-01-31","2020","01","31","","-0.4","","-3.1","","-1.8","","19.8","","0.0","","","","","","","","","","23","","34",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-01","2020","02","01","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-02","2020","02","02","","2.0","","0.0","","1.0","","17.0","","0.0","","","","","","","","","","29","","43",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-03","2020","02","03","","2.3","","0.2","","1.2","","16.8","","0.0","","","","","","","","","","29","","68",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-04","2020","02","04","","0.7","","-7.2","","-3.3","","21.3","","0.0","","","","","","","","","","33","","74",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-05","2020","02","05","","-5.1","","-10.5","","-7.8","","25.8","","0.0","","","","","","","","","","1","","61",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-06","2020","02","06","","-2.9","","-6.3","","-4.6","","22.6","","0.0","","","","","","","","","","4","","53",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-07","2020","02","07","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-08","2020","02","08","","-6.0","","-17.6","","-11.8","","29.8","","0.0","","","","","","","","","","3","","34",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-09","2020","02","09","","0.4","","-7.2","","-3.4","","21.4","","0.0","","","","","","","","","","18","","47",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-10","2020","02","10","","1.0","","-1.8","","-0.4","","18.4","","0.0","","","","","","","","","","25","","35",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-11","2020","02","11","","0.0","","-1.9","","-0.9","","18.9","","0.0","","","","","","","","","","29","","67",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-12","2020","02","12","","0.6","","-2.0","","-0.7","","18.7","","0.0","","","","","","","","","","24","","61",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-13","2020","02","13","","0.2","","-18.3","","-9.1","","27.1","","0.0","","","","","","","","","","36","","54",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-14","2020","02","14","","-6.3","","-18.5","","-12.4","","30.4","","0.0","","","","","","","","","","24","","64",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-15","2020","02","15","","0.5","","-7.3","","-3.4","","21.4","","0.0","","","","","","","","","","26","","72",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-16","2020","02","16","","1.0","","-5.4","","-2.2","","20.2","","0.0","","","","","","","","","","27","","65",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-17","2020","02","17","","-2.6","","-7.9","","-5.2","","23.2","","0.0","","","","","","","","","","30","","60",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-18","2020","02","18","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-19","2020","02","19","","-2.5","","-9.1","","-5.8","","23.8","","0.0","","","","","","","","","","31","","73",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-20","2020","02","20","","-4.3","","-13.6","","-8.9","","26.9","","0.0","","","","","","","","","","26","","59",""
"-80.37","45.03","WESTERN ISLAND (AUT)","6119M51","2020-02-21","2020","02","21","","0.3","","-4.9","","-2.3","","20.3","","0.0","","","","","","","","","","24","","87",""
