"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-01","2011","01","01","","8.4","","-2.6","","2.9","","15.1","","0.0","","","M","","M","","M","","","27","","44",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-02","2011","01","02","","-2.6","","-6.2","","-4.4","","22.4","","0.0","","","M","","M","","M","","","25","","39",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-03","2011","01","03","","-1.9","","-6.1","","-4.0","","22.0","","0.0","","","M","","M","","M","","","24","","33",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-04","2011","01","04","","0.2","","-6.9","","-3.4","","21.4","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-05","2011","01","05","","-2.9","","-14.8","","-8.9","","26.9","","0.0","","","M","","M","","M","","","29","","32",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-06","2011","01","06","","-4.3","","-15.0","","-9.7","","27.7","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-07","2011","01","07","","-5.3","","-20.7","","-13.0","","31.0","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-08","2011","01","08","","-6.1","","-17.9","","-12.0","","30.0","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-09","2011","01","09","","-6.0","","-9.1","","-7.6","","25.6","","0.0","","","M","","M","","M","","","34","","39",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-10","2011","01","10","","-4.9","","-19.1","","-12.0","","30.0","","0.0","","","M","","M","","M","","","35","","41",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-11","2011","01","11","","-6.1","","-19.1","","-12.6","","30.6","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-12","2011","01","12","","-7.2","E","-10.5","E","-8.9","E","26.9","E","0.0","E","","M","","M","","M","","","34","","50",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-13","2011","01","13","","-6.9","","-16.1","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-14","2011","01","14","","-3.8","","-15.1","","-9.5","","27.5","","0.0","","","M","","M","","M","","","","","<31",""
"-79.91","44.27","BORDEN AWOS","611B002","2011-01-15","2011","01","15","","-2.3","","-9.6","","-6.0","","24.0","","0.0","","","M","","M","","M","","","27","","41",""
