"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.78","44.23","EGBERT CS","611E001","2019-01-01","2019","01","01","","1.0","","-10.3","","-4.7","","22.7","","0.0","","","","","","0.8","","","","30","","45",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-02","2019","01","02","","-3.9","","-11.8","","-7.9","","25.9","","0.0","","","","","","3.2","","","","","","",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-03","2019","01","03","","0.2","","-5.4","","-2.6","","20.6","","0.0","","","","","","0.2","","4","","23","","40",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-04","2019","01","04","","4.9","","-4.3","","0.3","","17.7","","0.0","","","","","","0.0","","6","","22","","37",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-05","2019","01","05","","2.8","","-3.2","","-0.2","","18.2","","0.0","","","","","","0.0","","4","","30","","34",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-06","2019","01","06","","2.3","","-8.9","","-3.3","","21.3","","0.0","","","","","","0.7","","1","","34","","43",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-07","2019","01","07","","1.9","","-10.6","","-4.3","","22.3","","0.0","","","","","","4.6","","1","","14","","64",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-08","2019","01","08","","6.3","","1.2","","3.7","","14.3","","0.0","","","","","","0.5","","","","25","","31",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-09","2019","01","09","","1.2","","-6.4","","-2.6","","20.6","","0.0","","","","","","1.6","","","","33","","47",""
"-79.78","44.23","EGBERT CS","611E001","2019-01-10","2019","01","10","","-6.4","","-16.3","","-11.3","","29.3","","0.0","","","","","","1.4","","8","","30","","47",""
