"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-01","2006","01","01","","3.2","","1.5","","2.4","","15.6","","0.0","","","M","","M","","M","","","","M","33","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-02","2006","01","02","","3.7","","2.4","","3.1","","14.9","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-03","2006","01","03","","4.4","","2.4","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-04","2006","01","04","","5.7","","3.0","","4.4","","13.6","","0.0","","","M","","M","","M","","","","M","48","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-05","2006","01","05","","3.6","","-0.7","","1.5","","16.5","","0.0","","","M","","M","","M","","","","M","59","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-06","2006","01","06","","-0.7","","-6.3","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","M","39","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-07","2006","01","07","","0.4","","-4.8","","-2.2","","20.2","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-08","2006","01","08","","4.6","","-1.3","","1.7","","16.3","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-09","2006","01","09","","7.8","","1.5","","4.7","","13.3","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-10","2006","01","10","","2.8","","0.4","","1.6","","16.4","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-11","2006","01","11","","10.2","","2.7","","6.5","","11.5","","0.0","","","M","","M","","M","","","","M","52","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-12","2006","01","12","","8.8","","3.2","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-13","2006","01","13","","13.6","","6.3","","10.0","","8.0","","0.0","","","M","","M","","M","","","","M","57","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-14","2006","01","14","","7.9","","-5.1","","1.4","","16.6","","0.0","","","M","","M","","M","","","","M","80","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-15","2006","01","15","","-3.2","","-7.4","","-5.3","","23.3","","0.0","","","M","","M","","M","","","","M","52","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-16","2006","01","16","","-0.1","","-7.4","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-17","2006","01","17","","6.3","","-0.3","","3.0","","15.0","","0.0","","","M","","M","","M","","","","M","83","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-18","2006","01","18","","6.2","","-2.4","","1.9","","16.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-19","2006","01","19","","9.0","","-0.3","","4.4","","13.6","","0.0","","","M","","M","","M","","","","M","65","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-20","2006","01","20","","9.1","","3.5","","6.3","","11.7","","0.0","","","M","","M","","M","","","","M","61","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-21","2006","01","21","","9.8","","-0.4","","4.7","","13.3","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-22","2006","01","22","","3.2","","-1.4","","0.9","","17.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-23","2006","01","23","","3.7","","-1.7","","1.0","","17.0","","0.0","","","M","","M","","M","","","","M","37","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-24","2006","01","24","","3.5","","0.2","","1.9","","16.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-25","2006","01","25","","1.0","","-4.4","","-1.7","","19.7","","0.0","","","M","","M","","M","","","","M","76","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-26","2006","01","26","","-3.2","","-9.0","","-6.1","","24.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-27","2006","01","27","","4.1","","-3.2","","0.5","","17.5","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-28","2006","01","28","","8.4","","3.4","","5.9","","12.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-29","2006","01","29","","9.1","","4.2","","6.7","","11.3","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-30","2006","01","30","","","M","1.9","","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-01-31","2006","01","31","","2.3","","-0.6","","0.9","","17.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-01","2006","02","01","","4.5","","0.0","","2.3","","15.7","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-02","2006","02","02","","4.8","","2.1","","3.5","","14.5","","0.0","","","M","","M","","M","","","","","<31",""
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-03","2006","02","03","","3.7","","2.0","","2.9","","15.1","","0.0","","","M","","M","","M","","","","M","54","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-04","2006","02","04","","6.8","","1.0","","3.9","","14.1","","0.0","","","M","","M","","M","","","","M","87","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-05","2006","02","05","","1.8","","-3.4","","-0.8","","18.8","","0.0","","","M","","M","","M","","","","M","104","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-06","2006","02","06","","-0.4","","-4.7","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","76","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-07","2006","02","07","","-1.5","","-3.9","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","M","44","E"
"-80.05","42.53","LONG POINT (AUT)","6134F10","2006-02-08","2006","02","08","","-3.6","","-6.9","","-5.3","","23.3","","0.0","","","M","","M","","M","","","","","<31",""
