"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-01","2021","01","01","","3.1","","-0.1","","1.5","","16.5","","0.0","","","","","","","","","","6","","59",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-02","2021","01","02","","3.0","","0.3","","1.6","","16.4","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-03","2021","01","03","","3.1","","1.1","","2.1","","15.9","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-04","2021","01","04","","2.1","","0.8","","1.5","","16.5","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-05","2021","01","05","","1.1","","-0.1","","0.5","","17.5","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-06","2021","01","06","","4.5","","0.3","","2.4","","15.6","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-07","2021","01","07","","1.1","","-2.4","","-0.7","","18.7","","0.0","","","","","","","","","","1","","32",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-08","2021","01","08","","-2.4","","-5.9","","-4.1","","22.1","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-09","2021","01","09","","2.9","","-5.3","","-1.2","","19.2","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-10","2021","01","10","","2.0","","-3.4","","-0.7","","18.7","","0.0","","","","","","","","","","","","",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-11","2021","01","11","","0.3","","-3.3","","-1.5","","19.5","","0.0","","","","","","","","","","25","","47",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-12","2021","01","12","","0.8","","-3.5","","-1.4","","19.4","","0.0","","","","","","","","","","20","","45",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-13","2021","01","13","","3.6","","0.7","","2.1","","15.9","","0.0","","","","","","","","","","21","","47",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-14","2021","01","14","","4.4","","2.6","","3.5","","14.5","","0.0","","","","","","","","","","7","","31",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-15","2021","01","15","","4.1","","1.0","","2.6","","15.4","","0.0","","","","","","","","","","18","","36",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-16","2021","01","16","","1.9","","-0.8","","0.6","","17.4","","0.0","","","","","","","","","","24","","41",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-17","2021","01","17","","2.8","","0.3","","1.6","","16.4","","0.0","","","","","","","","","","23","","38",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-18","2021","01","18","","1.1","","-0.5","","0.3","","17.7","","0.0","","","","","","","","","","24","","45",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-19","2021","01","19","","0.5","","-2.5","","-1.0","","19.0","","0.0","","","","","","","","","","24","","44",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-20","2021","01","20","","0.2","","-7.5","","-3.6","","21.6","","0.0","","","","","","","","","","20","","63",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-21","2021","01","21","","3.5","","0.1","","1.8","","16.2","","0.0","","","","","","","","","","21","","60",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-22","2021","01","22","","1.8","","-7.0","","-2.6","","20.6","","0.0","","","","","","","","","","27","","39",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-23","2021","01","23","","-3.4","","-8.0","","-5.7","","23.7","","0.0","","","","","","","","","","28","","34",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-24","2021","01","24","","-1.0","","-3.9","","-2.4","","20.4","","0.0","","","","","","","","","","13","","32",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-25","2021","01","25","","0.7","","-2.3","","-0.8","","18.8","","0.0","","","","","","","","","","5","","43",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-26","2021","01","26","","1.2","","-2.5","","-0.6","","18.6","","0.0","","","","","","","","","","5","","54",""
"-81.90","42.25","ERIEAU (AUT)","613KLLM","2021-01-27","2021","01","27","","-1.5","","-6.7","","-4.1","","22.1","","0.0","","","","","","","","","","","","",""
