"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-01","2019","01","01","","0.5","","-17.5","","-8.5","","26.5","","0.0","","","","","","3.8","","13","","36","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-02","2019","01","02","","-8.6","","-22.8","","-15.7","","33.7","","0.0","","","","","","1.7","","13","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-03","2019","01","03","","-2.1","","-10.1","","-6.1","","24.1","","0.0","","","","","","2.4","","12","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-04","2019","01","04","","0.8","","-2.3","","-0.8","","18.8","","0.0","","","","","","0.0","","17","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-05","2019","01","05","","1.7","","-1.3","","0.2","","17.8","","0.0","","","","","","0.0","","17","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-06","2019","01","06","","0.2","","-19.8","","-9.8","","27.8","","0.0","","","","","","0.3","","15","","2","","39",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-07","2019","01","07","","-4.3","","-21.2","","-12.8","","30.8","","0.0","","","","","","6.5","","15","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-08","2019","01","08","","3.2","","-4.3","","-0.6","","18.6","","0.0","","","","","","6.7","","21","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-09","2019","01","09","","0.8","","-7.7","","-3.5","","21.5","","0.0","","","","","","2.2","","19","","30","","44",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-10","2019","01","10","","-7.7","","-19.5","","-13.6","","31.6","","0.0","","","","","","0.2","","19","","31","","41",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-11","2019","01","11","","-11.5","","-22.2","","-16.9","","34.9","","0.0","","","","","","0.2","","19","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-12","2019","01","12","","-8.5","","-24.9","","-16.7","","34.7","","0.0","","","","","","0.0","","19","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-13","2019","01","13","","-10.7","","-27.5","","-19.1","","37.1","","0.0","","","","","","0.0","","19","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-14","2019","01","14","","-5.9","","-24.6","","-15.2","","33.2","","0.0","","","","","","0.0","","19","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-15","2019","01","15","","-1.2","","-6.6","","-3.9","","21.9","","0.0","","","","","","0.7","","19","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-16","2019","01","16","","-2.2","","-27.0","","-14.6","","32.6","","0.0","","","","","","1.3","","20","","35","","41",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-17","2019","01","17","","-9.6","","-29.5","","-19.5","","37.5","","0.0","","","","","","0.0","","20","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-18","2019","01","18","","-2.6","","-21.3","","-11.9","","29.9","","0.0","","","","","","0.9","","22","","31","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-19","2019","01","19","","-21.3","","-25.1","","-23.2","","41.2","","0.0","","","","","","1.1","","22","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-20","2019","01","20","","-18.2","","-25.8","","-22.0","","40.0","","0.0","","","","","","2.8","","27","","32","","43",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-21","2019","01","21","","-15.3","","-28.1","","-21.7","","39.7","","0.0","","","","","","0.2","","20","","33","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-22","2019","01","22","","-7.7","","-33.1","","-20.4","","38.4","","0.0","","","","","","2.5","","20","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-23","2019","01","23","","4.1","","-7.7","","-1.8","","19.8","","0.0","","","","","","21.2","","30","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2019-01-24","2019","01","24","","3.5","","-13.3","","-4.9","","22.9","","0.0","","","","","","0.2","","28","","","","",""
